Error,エラー,錯誤
Confirm,確認,確認
Information,情報,資訊
Critical,緊要,緊急
Attention,注意,注意
,,
,,
No matching catalog found.,一致する目録が見つかりません。,沒有發現對應的目錄。
\n\nValidation is required if creating a new one.,\n\n新規目録作成には再入力検証が必要です。,\n\n建立新目錄時需輸入二次驗證。
\n\nThe validation is also mismatch.,\n\nパスワードの検証も一致しません。,\n\n密碼二次驗證亦不一致。
\n\nDo you want to create a new Catalog?,\n\n新しい目録を作成しますか？,\n\n您想建立新的目錄嗎？
Please input the password (As seed).\nEach password corresponds to a catalog.,パスワードを入力してください。\n各鍵（種子）は単一の目録に対応します。,請輸入密碼（做為密鑰種子）。\n每組密鑰將對應到一個目錄。
"For new password validation.\nIf using an existing password, no input required.",新しいパスワードの確認。\n既存のパスワードを使用する場合は、入力は必要ありません。,用於新密碼的二次驗證。\n若使用現存密碼，此欄位不需輸入。
,,
,,
Account transform done.,アカウントの転送が完了しました。,帳號傳輸完成
"Do you want to delete this catalog ""$$$"" ?\n\n(The program will log out after catalog is deleted.)",この目録から「$$$」を削除しますか？\n\n(目録削除後、プログラムはログアウトします。),"您是否要刪除目錄 ""$$$"" ？\n\n（刪除後程式將會登出）"
"It will transform ""$$$"" to other catalog.",「$$$」は他の目録に転送されます。,"此帳號 ""$$$"" 將傳輸至別的目錄。"
"You need to input the target catalog password in the next step.\n\n(Please note if accounts are duplicated, they will coexist)",次のステップで、\n\nターゲットの目録パスワードを入力する必要があります。\n\n（ご注意ください、アカウントが重複する場合は共存します）,下一步會需要輸入目標的目錄密碼。\n\n（請注意，若帳號重複將並存）
"Please confirm by entering ""DELETE"" in the text box.",テキストボックスに「DELETE」と入力して確認してください。,"請輸入 ""DELETE"" 來確認。"
Category settings updated.,目録設定を更新しました。,目錄設定已更新。
All accounts in the catalog were transformed.,全目録が転送されました。,全目錄已傳輸。
"Do you want to update the settings of catalog ""$$$"" ?",目録「$$$」の設定を更新しますか？,"您確認要更新這個目錄 ""$$$"" 的設定嗎？"
Catalog login,目録ログイン,目錄登入
Catalog loaded.,目録がロードされました。,目錄已載入。
Catalog password input,目録パスワード入力,目錄密碼輸入
"The destination catalog has already been opened, \n\nso it is in read-only mode.",宛先目録はすでに開かれているため、読み取り専用状態です。,目的地目錄已被開啟，所以目前是唯讀狀態。
The source and destination are the same.\n\nTransmission aborted.,ソースと宛先が同じです。転送中止。,來源與目的目錄相同，傳輸作業終止。
"It will transform catalog ""$$$"" to other one.",「$$$」は他の目録に転送されます。,"此目錄 ""$$$"" 內帳號將傳輸至別的目錄。"
No account in the catalog. Export abort.,目録にアカウントがありません。転送を中止します。,此目錄中沒有帳號資料，傳輸中止。
,,
,,
"Do you want to delete the ""$$$"" from this catalog ?",「$$$」を削除しますか？,"您是否要從目錄中將 ""$$$"" 刪除？"
"Do you want update the ""$$$"" ?",「$$$」を更新しますか？,"您是否要更新帳號 ""$$$"" ？"
"Account ""$$$"" added.",「$$$」が追加されました。,"帳號 ""$$$"" 已增加。"
"Account ""$$$"" updated.",「$$$」が更新されました。,"帳號 ""$$$"" 已更新。"
"Account ""$$$"" Move Up.",「$$$」が上へ移動。,"帳號 ""$$$"" 往上移動。"
"Account ""$$$"" Move Down.",「$$$」が下へ移動。,"帳號 ""$$$"" 往下移動。"
"Account ""$$$"" deleted.",「$$$」が削除されました。,"帳號 ""$$$"" 已刪除。"
"Account ""$$$"" transformed.",「$$$」が転送されました。,"帳號 ""$$$"" 已傳輸。"
"Account ""$$$"" opened.",「$$$」が開設されました。,"帳號 ""$$$"" 已開啟。"
"Do you want to add the ""$$$"" ?",この「$$$」を追加しますか？,"您確認要新增帳號 ""$$$"" 嗎？"
,,
,,
< Build time (by OS) >,＜ ビルド時間（OSによる）＞,＜ 建立時間（由作業系統）＞
< Last write time (by OS) >,＜ 最終書き込み時間（OSによる）＞,＜ 最後寫入時間（由作業系統）＞
< Filename >,＜ ファイル名 ＞,＜ 檔案名稱 ＞
< Current folder >,＜ 現在のフォルダ ＞,＜ 現在的文件夾 ＞
,,
,,
